ticker,market_cap,lookup_status,bucket
LNG,53969588224.0,success,Large-cap
LNTH,5464712192.0,success,Mid-cap
LOB,1689605760.0,success,Small-cap
LOCO,411299424.0,success,Small-cap
LOGI,14403865600.0,success,Large-cap
LOPE,4754081280.0,success,Mid-cap
LOW,136866553856.0,success,Large-cap
LPG,1522544896.0,success,Small-cap
LPLA,26575132672.0,success,Large-cap
LPRO,198558256.0,success,Small-cap
LPSN,38812604.0,success,Small-cap
LPX,5155513344.0,success,Mid-cap
LRCX,333048905728.0,success,Mega-cap
LSCC,14836645888.0,success,Large-cap
LSPD,1298866944.0,success,Small-cap
LTH,6182223360.0,success,Mid-cap
LTHM,,no_cap,
LULU,19091212288.0,success,Large-cap
LUMN,8849061888.0,success,Mid-cap
LUV,20487960576.0,success,Large-cap
LVS,37801697280.0,success,Large-cap
LW,5995444736.0,success,Mid-cap
LYB,23604117504.0,success,Large-cap
LYFT,5836257792.0,success,Mid-cap
LYV,36586835968.0,success,Large-cap
M,5091661312.0,success,Mid-cap
M2RV34,,no_cap,
M44,,no_cap,
M8V,,no_cap,
MA,464031907840.0,success,Mega-cap
MAA,14883284992.0,success,Large-cap
MANH,7713152512.0,success,Mid-cap
MAPS,67440880.0,success,Small-cap
MAR,96385482752.0,success,Large-cap
MAS,12861859840.0,success,Large-cap
